iter	Passed	Remaining
0	1	18229
1	3	17237
2	5	16924
3	6	16477
4	8	16489
5	10	17061
6	11	16864
7	13	16854
8	15	16722
9	16	16593
10	18	16578
11	19	16566
12	21	16565
13	23	16513
14	24	16615
15	26	16601
16	28	16556
17	29	16508
18	31	16522
19	33	16642
20	34	16601
21	36	16650
22	38	16624
23	39	16578
24	41	16533
25	43	16557
26	44	16564
27	46	16528
28	48	16546
29	49	16583
30	51	16622
31	53	16640
32	55	16732
33	57	16752
34	58	16732
35	60	16772
36	62	16735
37	63	16719
38	65	16705
39	66	16666
40	68	16647
41	70	16624
42	71	16581
43	73	16597
44	75	16610
45	76	16578
46	78	16588
47	80	16592
48	81	16567
49	83	16562
50	84	16545
51	86	16543
52	88	16573
53	89	16571
54	91	16549
55	93	16538
56	94	16518
57	96	16504
58	97	16486
59	99	16479
60	101	16539
61	103	16534
62	104	16520
63	106	16521
64	108	16511
65	109	16493
66	111	16487
67	112	16486
68	114	16472
69	116	16460
70	117	16476
71	119	16468
72	121	16471
73	122	16474
74	124	16462
75	125	16447
76	127	16425
77	129	16436
78	130	16438
79	132	16461
80	134	16456
81	136	16467
82	137	16469
83	139	16471
84	141	16497
85	143	16519
86	145	16533
87	147	16577
88	149	16594
89	150	16605
90	152	16638
91	154	16650
92	156	16645
93	158	16670
94	160	16688
95	161	16696
96	164	16782
97	166	16805
98	168	16829
99	170	16845
100	171	16839
101	173	16869
102	175	16885
103	177	16936
104	179	16947
105	181	16943
106	183	16933
107	184	16928
108	186	16919
109	188	16916
110	189	16907
111	191	16898
112	193	16893
113	194	16883
114	196	16871
115	197	16866
116	199	16865
117	201	16872
118	203	16868
119	205	16885
120	206	16885
121	208	16873
122	210	16878
123	211	16872
124	213	16877
125	215	16883
126	217	16896
127	218	16881
128	220	16880
129	222	16875
130	223	16871
131	225	16868
132	227	16873
133	229	16896
134	231	16885
135	232	16875
136	234	16881
137	236	16890
138	238	16900
139	239	16897
140	241	16902
141	243	16897
142	245	16898
143	246	16884
144	248	16870
145	250	16888
146	252	16905
147	253	16899
148	255	16920
149	257	16914
150	259	16903
151	260	16903
152	262	16897
153	264	16892
154	265	16880
155	267	16899
156	269	16891
157	270	16875
158	272	16871
159	274	16882
160	276	16870
161	277	16856
162	279	16857
163	281	16865
164	283	16871
165	284	16873
166	286	16867
167	288	16860
168	289	16852
169	291	16848
170	293	16844
171	294	16844
172	296	16852
173	298	16851
174	300	16845
175	301	16841
176	303	16842
177	305	16833
178	306	16826
179	308	16833
180	310	16830
181	311	16824
182	313	16824
183	315	16839
184	317	16830
185	318	16830
186	320	16833
187	322	16830
188	324	16831
189	326	16832
190	327	16829
191	329	16830
192	331	16845
193	333	16845
194	335	16848
195	336	16852
196	338	16844
197	340	16840
198	341	16840
199	343	16843
200	345	16843
201	347	16849
202	349	16851
203	350	16851
204	352	16846
205	354	16865
206	356	16857
207	357	16847
208	359	16855
209	361	16863
210	363	16858
211	365	16862
212	366	16861
213	368	16858
214	370	16851
215	371	16849
216	373	16847
217	375	16840
218	377	16838
219	378	16847
220	380	16839
221	382	16830
222	384	16847
223	385	16837
224	387	16839
225	389	16837
226	390	16829
227	392	16819
228	394	16813
229	396	16823
230	397	16820
231	399	16822
232	401	16820
233	402	16813
234	404	16802
235	406	16804
236	407	16803
237	409	16807
238	411	16812
239	413	16817
240	415	16808
241	416	16813
242	418	16809
243	420	16804
244	422	16805
245	424	16814
246	425	16806
247	427	16800
248	428	16798
249	430	16795
250	432	16788
251	433	16784
252	435	16794
253	437	16787
254	439	16781
255	440	16779
256	443	16795
257	444	16799
258	446	16801
259	448	16793
260	449	16785
261	451	16783
262	453	16778
263	454	16777
264	456	16773
265	458	16776
266	460	16777
267	461	16772
268	463	16777
269	465	16776
270	467	16771
271	469	16778
272	470	16778
273	472	16780
274	474	16782
275	476	16784
276	478	16785
277	479	16783
278	481	16783
279	483	16779
280	484	16772
281	487	16785
282	488	16780
283	490	16773
284	491	16770
285	493	16768
286	495	16760
287	496	16756
288	498	16760
289	500	16753
290	502	16754
291	503	16755
292	505	16757
293	507	16753
294	509	16752
295	510	16750
296	512	16744
297	514	16739
298	515	16736
299	517	16731
300	519	16723
301	520	16724
302	522	16732
303	524	16728
304	526	16722
305	527	16723
306	529	16719
307	531	16713
308	533	16732
309	535	16726
310	536	16720
311	538	16717
312	540	16728
313	542	16726
314	544	16728
315	545	16726
316	547	16718
317	549	16719
318	550	16716
319	552	16710
320	553	16703
321	555	16702
322	557	16698
323	559	16698
324	560	16696
325	562	16697
326	564	16692
327	566	16690
328	567	16691
329	569	16691
330	571	16687
331	573	16690
332	575	16699
333	576	16694
334	578	16695
335	580	16690
336	581	16684
337	583	16681
338	585	16678
339	586	16672
340	588	16667
341	590	16663
342	591	16658
343	593	16651
344	594	16645
345	596	16646
346	598	16641
347	599	16635
348	601	16638
349	603	16639
350	605	16635
351	607	16639
352	608	16638
353	610	16631
354	611	16624
355	613	16632
356	615	16626
